Date,Open,High,Low,Close,Volume,Market Cap,MA(20),MA(50),MA(200),RSI(14)(SMA)
Mar-11-2021,57716.88167,58031.00081,55195.34972,57278.15502,1.32E+11,1.06E+12,51166.80408,44657.23965,24666.39417,76.33955153
Mar-12-2021,57250.13788,61662.20596,56089.27398,61297.99739,1.34E+11,1.10E+12,51418.67122,45253.41995,24912.83316,80.14744424
Mar-13-2021,61219.34843,61617.99661,59380.01894,59380.01894,1.22E+11,1.13E+12,51514.48421,45773.88825,25151.73099,77.96023052
Mar-14-2021,59150.40303,60550.87471,55338.28094,55723.94916,1.28E+11,1.07E+12,51589.26011,46238.16491,25371.93189,62.41960227
Mar-15-2021,55571.19384,56788.88401,53393.03365,56455.99844,1.30E+11,1.03E+12,51967.43232,46712.56205,25596.53268,66.93325982
Mar-16-2021,56857.30607,58863.67749,54376.49473,58711.97874,1.03E+11,1.05E+12,52402.39954,47230.97763,25831.43391,66.80729402
Mar-17-2021,58891.032,60024.60188,57287.61193,57687.52056,1.13E+11,1.09E+12,52893.59681,47723.32571,26061.29669,69.82972319
Mar-18-2021,57666.27321,59448.83114,56348.06484,58091.62367,1.02E+11,1.09E+12,53459.61423,48268.15473,26292.11176,69.86359101
Mar-19-2021,58098.07839,59869.85,58016.57963,58219.82,87958442364,1.10E+12,54031.87643,48760.35565,26523.77257,70.08125152
Mar-20-2021,58057.69,58549.97,55928.75215,57392.2057,95572143442,1.07E+12,54622.61267,49214.2972,26749.99372,63.88399908
Mar-21-2021,57384.45758,58200.01,53833.72378,54249.99078,92548643675,1.06E+12,54846.04381,49604.82431,26963.18198,54.04513337
Mar-22-2021,54185.29358,55799.02,53213.99895,54599.96181,1.09E+11,1.02E+12,55148.63265,50025.68357,27183.99936,49.63228984
Mar-23-2021,54464.9413,57028.63,52075.59068,52584.7854,99933043546,1.03E+12,55243.45196,50399.6315,27393.50814,42.40133194
Mar-24-2021,52382.79787,53139.13024,50572.98433,51412.19201,1.31E+11,9.73E+11,55380.99541,50711.4955,27598.89324,35.86136161
Mar-25-2021,51355.70456,55002.76979,51355.70456,55002.76979,1.09E+11,9.93E+11,55671.51228,51053.66875,27821.50787,45.49193456
Mar-26-2021,55008.05654,56456.80392,54033.56868,55917.88011,88506866567,1.03E+12,56006.42083,51425.82258,28048.18168,37.84543979
Mar-27-2021,55841.63478,56489.17,54850.21,55861.95,82011404714,1.04E+12,56218.45527,51777.11641,28275.79234,41.32200028
Mar-28-2021,55748.63201,58339.97395,54994.35,57664.85097,91499980031,1.06E+12,56472.6452,52139.33883,28511.86546,55.26935666
Mar-29-2021,57612.52299,59311.03858,57140.7,58693.94856,98089413350,1.09E+12,56660.00172,52527.67825,28752.45904,55.97937138
Mar-30-2021,58763.82796,59777.71,57447.36,58719.45437,1.03E+11,1.10E+12,56789.55958,52772.65782,28992.97982,50.02267617
Mar-31-2021,58751.79059,59319.27069,58147.84487,58755.61518,1.16E+11,1.10E+12,56842.98412,53012.7381,29233.36409,53.44654431
Apr-01-2021,58727.64838,60063.77636,58529.49812,58963.3276,1.05E+11,1.11E+12,56923.23044,53289.14644,29475.39225,52.84893614
Apr-02-2021,58975.83354,59690.99804,57022.93147,57139.13796,91212846892,1.10E+12,56725.18951,53474.61141,29706.6063,46.82054255
Apr-03-2021,57092.44616,58412.53402,56589.61934,58215.19,1.05E+11,1.08E+12,56669.72147,53682.30987,29942.58735,52.3864034
Apr-04-2021,58197.97873,59134.63,56844.94889,58777.73936,97931171133,1.08E+12,56815.14005,53912.1328,30180.55162,65.43881077
Apr-05-2021,59096.00169,59398.74289,57599.94356,58093.23833,1.05E+11,1.09E+12,56893.10385,54096.83689,30415.17261,61.64576305
Apr-06-2021,57979.29682,58627.11289,55558.49699,56073.47156,1.09E+11,1.06E+12,56767.46065,54255.49364,30639.83181,61.6269013
Apr-07-2021,55872.86378,58087.98073,55819.74104,58019.88,1.05E+11,1.07E+12,56783.28729,54427.23539,30873.37922,70.94160127
Apr-08-2021,58077.06,58841.41,57722.22056,58159.44,77270327842,1.09E+12,56786.51664,54545.50635,31108.42774,62.80550167
Apr-09-2021,58135.35,61210.69,57951.92391,59747.4368,1.03E+11,1.12E+12,56859.2603,54704.14537,31353.79868,64.73095453
Apr-10-2021,59716.55342,60590.05514,59246.5039,60018.28649,97875436777,1.12E+12,56984.31177,54786.95187,31600.00234,65.72790971
Apr-11-2021,60007.79302,61095.00873,59586.15403,59940.53,1.01E+11,1.12E+12,57255.28982,54864.04486,31847.31318,59.90449972
Apr-12-2021,59868.27,63720.71,59868.27,63528.48,1.58E+11,1.16E+12,57680.45736,54984.83964,32109.98456,67.20846247
Apr-13-2021,63545.12,64816.10187,61529.32,62628.97594,1.74E+11,1.18E+12,58158.75214,55151.0224,32368.42029,63.10077305
Apr-14-2021,62999.98263,63628.83,62090.5,63183.14,1.69E+11,1.17E+12,58719.27348,55438.6451,32629.33271,64.33880453
Apr-15-2021,63207.09,63493.56,60153.64549,61504.76862,1.66E+11,1.15E+12,59028.89247,55672.50984,32881.7618,57.51477874
Apr-16-2021,61342.96888,62420.53926,59767.22,60078.27,1.60E+11,1.14E+12,59227.00627,55921.64498,33127.41253,58.90002642
Apr-17-2021,60028.39,60274.64,52569.43989,56037.12872,1.86E+11,1.05E+12,59235.34812,56114.42676,33352.27405,44.4086377
Apr-18-2021,56183.52046,57424.30537,54333.8996,55653.24487,1.40E+11,1.05E+12,59139.55735,56299.73914,33575.58963,41.90476365
Apr-19-2021,55653.85188,56983.76,53488.26,56363.62,1.23E+11,1.04E+12,59028.58932,56522.81512,33803.19817,45.52474112
Apr-20-2021,56453.86,56715.88528,53714.77,53889.33,1.15E+11,1.04E+12,58798.5834,56607.7444,34018.73466,44.47856517
Apr-21-2021,53868.59,55331.42799,50591.89962,51843.6798,1.27E+11,1.01E+12,58469.44362,56678.29506,34224.21903,34.46472778
Apr-22-2021,51740.14985,52049.55425,47731.2,51020.04115,1.73E+11,9.32E+11,58091.19189,56686.65705,34424.9869,32.63939677
Apr-23-2021,51084.09851,51084.09851,48769.31857,50007.71595,1.19E+11,9.35E+11,57751.60036,56715.75384,34620.12643,25.63412739
Apr-24-2021,50069.18687,50471.37,47199.80667,48987.68164,73945549998,9.27E+11,57312.1952,56717.43553,34811.0878,23.40174924
Apr-25-2021,49045.57322,54229.30138,48817.99382,53954.40657,97639482840,9.89E+11,57082.51269,56816.83957,35026.45673,38.3195548
Apr-26-2021,53993.06774,55392.54578,53305.02,54924.0147,88040474936,1.02E+12,56931.59728,56885.75698,35245.48888,31.29968957
Apr-27-2021,55007.1236,56159.30524,53877.65047,54766.5393,79980719165,1.02E+12,56869.36241,56933.59378,35462.90355,32.34285692
Apr-28-2021,54808.95793,55158.00221,52390.85595,53610.42906,78228039366,1.01E+12,56659.38855,56911.06373,35673.4281,29.0679226
Apr-29-2021,53548.82,57814.9451,53099.4,57758.64693,81510348963,1.03E+12,56640.30317,56945.57172,35904.18537,42.60710933
Apr-30-2021,57710.51331,58433.61184,57105.14368,57793.51887,84085140058,1.08E+12,56547.25946,56948.70543,36134.2818,45.22903858
May-01-2021,57794.46273,57853.37996,56149.03829,56563.76,70170320536,1.06E+12,56382.7582,56934.69768,36358.8603,51.24599479
May-02-2021,56566.43,58895.89,56552.03,57211.40864,79856745598,1.08E+12,56252.80004,56854.56849,36586.64658,53.64112602
May-03-2021,57160.54134,57160.54134,53300.38469,53329.38764,1.04E+11,1.03E+12,55767.12897,56735.92866,36794.78972,43.82492266
May-04-2021,53233.72954,57850.88587,53233.72954,57338.36,1.05E+11,1.04E+12,55515.19488,56767.58378,37023.77329,56.60656317
May-05-2021,57424.97,58305.62094,55400.03694,56484.49,97608603995,1.06E+12,55196.21155,56768.14243,37248.23103,59.31467724
May-06-2021,56387.69,58550.19154,55406.83887,57339.55,96543881309,1.06E+12,54997.8678,56741.23207,37476.33816,62.66805344
May-07-2021,57336.81,59430.90584,57008.19,58711.17203,96516445929,1.09E+12,54932.7679,56761.30366,37709.98391,67.19914938
May-08-2021,58770.01296,59112.95893,56327.67465,58169.72762,1.03E+11,1.08E+12,55034.32023,56762.83511,37940.1306,68.49473446
May-09-2021,58215.44392,59447.8705,54598.96595,55772.28125,97599777791,1.08E+12,55039.98863,56714.84416,38153.87929,54.08435401
May-10-2021,55805.02962,56828.85543,54549.9254,56721.83384,1.10E+11,1.04E+12,55057.04643,56701.69961,38371.60713,54.04293726
May-11-2021,56677.85135,57885.79931,50482.43448,50482.43448,91534666588,1.05E+12,54894.81331,56627.82596,38558.44003,42.43518598
May-12-2021,49776.06802,51298.13,47215.48132,49655.62103,1.47E+11,9.32E+11,54790.62003,56530.8781,38740.22334,42.9344864
May-13-2021,49702.01332,51384.65381,48900.16679,49884.92,1.05E+11,9.38E+11,54736.56665,56477.93956,38923.62687,33.64259825
May-14-2021,49862.09479,50567.6576,46774.63,46786.61,80418871902,9.13E+11,54583.18065,56387.24188,39091.3934,29.71541703
May-15-2021,46770.57,49696.09254,44041.16209,46395.05,86152547558,8.92E+11,54459.722,56218.46306,39254.29644,30.66271901
